identifier;date;organizationName;organizationIdentifier;providerName;providerIdentifier;meterNumber;type;quantity;unitName
1.1.;28.02.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;КП «Вінницяоблводоканал»;3339012;Zenner 01616088;Холодна вода;100.0;кубічний метр
1.2.;28.02.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;КП ВМР «Вінницяміськтеплоенерго»; 33126849;Zenner 12092156;Гаряча вода;25.0;кубічний метр
1.3.;28.02.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;КП ВМР «Вінницяміськтеплоенерго»; 33126849;СВТУ11 №3035;Централізоване опалення;41.0;Гкал
1.4.;28.02.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;ТОВ «Енера Вінниця»;41835359;06.01.02602226;Електроенергія;1626.0;КВт
1.5.;28.02.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;ТОВ «Енера Вінниця»;41835359;06.01.02601293;Електроенергія;963.0;КВт
2.1.;31.03.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;КП «Вінницяоблводоканал»;3339012;Zenner 01616088;Холодна вода;78.0;кубічний метр
2.2.;31.03.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;КП ВМР «Вінницяміськтеплоенерго»; 33126849;Zenner 12092156;Гаряча вода;29.0;кубічний метр
2.3.;31.03.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;КП ВМР «Вінницяміськтеплоенерго»; 33126849;СВТУ11 №3035;Централізоване опалення;26.0;Гкал
2.4.;31.03.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;ТОВ «Енера Вінниця»;41835359;06.01.02602226;Електроенергія;2137.0;КВт
2.5.;31.03.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;ТОВ «Енера Вінниця»;41835359;06.01.02601293;Електроенергія;1077.0;КВт
3.1.;28.04.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;КП «Вінницяоблводоканал»;3339012;Zenner 01616088;Холодна вода;165.0;кубічний метр
3.2.;28.04.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;КП ВМР «Вінницяміськтеплоенерго»; 33126849;Zenner 12092156;Гаряча вода;45.0;кубічний метр
3.3.;28.04.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;КП ВМР «Вінницяміськтеплоенерго»; 33126849;СВТУ11 №3035;Централізоване опалення;18.0;Гкал
3.4.;28.04.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;ТОВ «Енера Вінниця»;41835359;06.01.02602226;Електроенергія;1934.0;КВт
3.5.;28.04.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;ТОВ «Енера Вінниця»;41835359;06.01.02601293;Електроенергія;878.0;КВт
4.1.;31.05.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;КП «Вінницяоблводоканал»;3339012;Zenner 01616088;Холодна вода;177.0;кубічний метр
4.2.;31.05.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;КП ВМР «Вінницяміськтеплоенерго»; 33126849;Zenner 12092156;Гаряча вода;23.0;кубічний метр
4.3.;31.05.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;КП ВМР «Вінницяміськтеплоенерго»; 33126849;СВТУ11 №3035;Централізоване опалення;0.0;Гкал
4.4.;31.05.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;ТОВ «Енера Вінниця»;41835359;06.01.02602226;Електроенергія;2121.0;КВт
4.5.;31.05.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;ТОВ «Енера Вінниця»;41835359;06.01.02601293;Електроенергія;844.0;КВт
5.1.;30.06.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;КП «Вінницяоблводоканал»;3339012;Zenner 01616088;Холодна вода;215.0;кубічний метр
5.2.;30.06.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;КП ВМР «Вінницяміськтеплоенерго»; 33126849;Zenner 12092156;Гаряча вода;18.0;кубічний метр
5.3.;30.06.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;КП ВМР «Вінницяміськтеплоенерго»; 33126849;СВТУ11 №3035;Централізоване опалення;0.0;Гкал
5.4.;30.06.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;ТОВ «Енера Вінниця»;41835359;06.01.02602226;Електроенергія;1681.0;КВт
5.5.;30.06.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;ТОВ «Енера Вінниця»;41835359;06.01.02601293;Електроенергія;755.0;КВт
6.1.;31.07.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;КП «Вінницяоблводоканал»;3339012;Zenner 01616088;Холодна вода;109.0;кубічний метр
6.2.;31.07.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;КП ВМР «Вінницяміськтеплоенерго»; 33126849;Zenner 12092156;Гаряча вода;45.0;кубічний метр
6.3.;31.07.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;КП ВМР «Вінницяміськтеплоенерго»; 33126849;СВТУ11 №3035;Централізоване опалення;0.0;Гкал
6.4.;31.07.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;ТОВ «Енера Вінниця»;41835359;06.01.02602226;Електроенергія;1729.0;КВт
6.5.;31.07.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;ТОВ «Енера Вінниця»;41835359;06.01.02601293;Електроенергія;842.0;КВт
7.1.;31.08.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;КП «Вінницяоблводоканал»;3339012;Zenner 01616088;Холодна вода;;кубічний метр
7.2.;31.08.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;КП ВМР «Вінницяміськтеплоенерго»; 33126849;Zenner 12092156;Гаряча вода;57.0;кубічний метр
7.3.;31.08.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;КП ВМР «Вінницяміськтеплоенерго»; 33126849;СВТУ11 №3035;Централізоване опалення;0.0;Гкал
7.4.;31.08.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;ТОВ «Енера Вінниця»;41835359;06.01.02602226;Електроенергія;2092.0;КВт
7.5.;31.08.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;ТОВ «Енера Вінниця»;41835359;06.01.02601293;Електроенергія;1134.0;КВт
8.1.;30.09.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;КП «Вінницяоблводоканал»;3339012;Zenner 01616088;Холодна вода;;кубічний метр
8.2.;30.09.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;КП ВМР «Вінницяміськтеплоенерго»; 33126849;Zenner 12092156;Гаряча вода;25.0;кубічний метр
8.3.;30.09.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;КП ВМР «Вінницяміськтеплоенерго»; 33126849;СВТУ11 №3035;Централізоване опалення;0.0;Гкал
8.4.;30.09.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;ТОВ «Енера Вінниця»;41835359;06.01.02602226;Електроенергія;1555.0;КВт
8.5.;30.09.2023;КЗ «Дошкільний навчальний заклад №57 Вінницької міської ради»;26243289;ТОВ «Енера Вінниця»;41835359;06.01.02601293;Електроенергія;713.0;КВт
