Timestamp,Window,Lights,Illuminance on table (lx),Illuminance near window (lx),Weather
11.04.2025 17:00:00,1,0,189,1037,Cloudy
11.04.2025 17:00:00,1,1,468,1194,Cloudy
11.04.2025 17:00:00,0,0,30,40,Cloudy
11.04.2025 20:00:00,1,0,38,38,Cloudy
11.04.2025 20:00:00,1,1,269,176,Cloudy
11.04.2025 20:00:00,0,0,30,30,Cloudy
11.04.2025 23:00:00,1,0,30,30,Cloudy
11.04.2025 23:00:00,1,1,253,253,Cloudy
11.04.2025 23:00:00,0,0,30,30,Cloudy
12.04.2025 11:00:00,1,0,149,927,Sunny
12.04.2025 11:00:00,1,1,507,935,Sunny
12.04.2025 11:00:00,0,0,38,45,Sunny
12.04.2025 15:00:00,1,0,3345,32767,Sunny
12.04.2025 15:00:00,1,1,4756,32767,Sunny
12.04.2025 15:00:00,0,0,53,156,Sunny
12.04.2025 20:00:00,1,0,38,40,Clear
12.04.2025 20:00:00,1,1,261,176,Clear
12.04.2025 20:00:00,0,0,30,30,Clear
13.04.2025 14:00:00,1,0,1591,32767,Sunny
13.04.2025 14:00:00,1,1,2360,32767,Sunny
13.04.2025 14:00:00,0,0,53,115,Sunny
14.04.2025 00:00:00,1,0,30,30,Clear
14.04.2025 00:00:00,1,1,269,181,Clear
14.04.2025 00:00:00,0,0,30,30,Clear
14.04.2025 11:00:00,1,0,176,1086,Sunny
14.04.2025 11:00:00,1,1,515,1168,Sunny
14.04.2025 11:00:00,0,0,38,40,Sunny
14.04.2025 16:00:00,1,0,18419,19801,Sunny
14.04.2025 16:00:00,1,1,18768,19824,Sunny
14.04.2025 16:00:00,0,0,53,130,Sunny
14.04.2025 23:00:00,1,0,30,30,Clear
14.04.2025 23:00:00,1,1,246,176,Clear
14.04.2025 23:00:00,0,0,30,30,Clear
15.04.2025 11:00:00,1,0,210,1107,Sunny
15.04.2025 11:00:00,1,1,525,1237,Sunny
15.04.2025 11:00:00,0,0,40,56,Sunny
15.04.2025 13:00:00,1,0,1211,32767,Sunny
15.04.2025 13:00:00,1,1,1850,32677,Sunny
15.04.2025 13:00:00,0,0,53,95,Sunny
15.04.2025 18:00:00,1,0,325,1711,Cloudy
15.04.2025 18:00:00,1,1,599,1942,Cloudy
15.04.2025 18:00:00,0,0,38,40,Cloudy
15.04.2025 00:00:00,1,0,30,30,Clear
15.04.2025 00:00:00,1,1,253,170,Clear
15.04.2025 00:00:00,0,0,30,30,Clear
16.04.2025 15:00:00,1,0,240,2196,Cloudy
16.04.2025 15:00:00,1,1,550,2332,Cloudy
16.04.2025 15:00:00,0,0,38,61,Cloudy
17.04.2025 13:00:00,1,0,640,32767,Sunny
17.04.2025 13:00:00,1,1,973,32767,Sunny
17.04.2025 13:00:00,0,0,53,120,Sunny
17.04.2025 20:00:00,1,0,30,38,Clear
17.04.2025 20:00:00,1,1,246,184,Clear
17.04.2025 20:00:00,0,0,30,30,Clear
